Chromosome	Start_Position	End_Position	SEQ_ASSAY_ID
X	63409758	63413166	UHN-555-V1
19	33792243	33793320	UHN-555-V1
11	22646231	22647356	UHN-555-V1
3	138664433	138665564	UHN-555-V1
12	123213845	123214886	UHN-555-V1
6	26156618	26157278	UHN-555-V1
1	59247746	59248742	UHN-555-V1
20	39316518	39317490	UHN-555-V1
X	152482080	152483010	UHN-555-V1
4	40245006	40245582	UHN-555-V1
7	92730640	92735410	UHN-555-V1
16	11348699	11349335	UHN-555-V1
17	76354498	76355176	UHN-555-V1
2	5832853	5834179	UHN-555-V1
3	181430148	181431102	UHN-555-V1
9	32630096	32635577	UHN-555-V1
4	154624059	154626414	UHN-555-V1
1	118165490	118166666	UHN-555-V1
1	110881994	110884934	JHU-500STP
1	110888105	110888285	JHU-500STP
1	110888865	110889045	JHU-500STP
1	11167459	11167639	JHU-500STP
1	11168170	11168410	JHU-500STP
1	11169296	11169476	JHU-500STP
1	11169655	11169835	JHU-500STP
1	11172851	11173031	JHU-500STP
1	11174331	11174571	JHU-500STP
1	11174816	11174996	JHU-500STP
1	11175398	11175578	JHU-500STP
1	11177011	11177191	JHU-500STP
1	11181243	11181483	JHU-500STP
1	11181989	11182229	JHU-500STP
1	11184502	11184742	JHU-500STP
1	11186645	11186885	JHU-500STP
1	11187013	11187253	JHU-500STP
1	11187651	11187891	JHU-500STP
1	11188001	11188241	JHU-500STP
1	11188469	11188649	JHU-500STP
1	11188869	11189049	JHU-500STP
1	11189709	11189949	JHU-500STP
1	11190505	11190685	JHU-500STP
1	11190712	11190892	JHU-500STP
1	11193075	11193315	JHU-500STP
1	11194345	11194585	JHU-500STP
1	11199306	11199772	JHU-500STP
1	11204638	11204878	JHU-500STP
1	11204973	11205153	JHU-500STP
1	11206670	11206910	JHU-500STP
1	11210112	11210352	JHU-500STP
1	11217158	11217398	JHU-500STP
1	11227446	11227626	JHU-500STP
1	11259267	11259507	JHU-500STP
1	11259558	11259798	JHU-500STP
1	11264568	11264808	JHU-500STP
1	11269321	11269561	JHU-500STP
1	11270826	11271006	JHU-500STP
1	11272329	11272569	JHU-500STP
1	11272788	11273028	JHU-500STP
1	11273419	11273659	JHU-500STP
1	11276157	11276337	JHU-500STP
1	11288699	11288999	JHU-500STP
1	11290926	11291166	JHU-500STP
1	11291303	11291543	JHU-500STP
1	11292448	11292628	JHU-500STP
1	11293409	11293589	JHU-500STP
1	11294140	11294380	JHU-500STP
1	11297882	11298122	JHU-500STP
1	11298446	11298686	JHU-500STP
1	11300331	11300631	JHU-500STP
1	11301553	11301793	JHU-500STP
1	11303143	11303383	JHU-500STP
1	11307615	11307855	JHU-500STP
1	11307863	11308163	JHU-500STP
1	11313842	11314082	JHU-500STP
1	11316028	11316268	JHU-500STP
1	11316955	11317255	JHU-500STP
1	11318475	11318715	JHU-500STP
1	11319265	11319505	JHU-500STP
1	114940255	114940495	JHU-500STP
1	114940496	114940676	JHU-500STP
1	114942034	114942274	JHU-500STP
1	114943957	114944137	JHU-500STP
1	114945323	114945563	JHU-500STP
1	114947996	114948416	JHU-500STP
1	114949522	114949762	JHU-500STP
1	114951242	114951422	JHU-500STP
1	114952751	114952991	JHU-500STP
1	114964037	114964277	JHU-500STP
1	114967174	114967414	JHU-500STP
1	114968057	114968357	JHU-500STP
1	114969737	114969977	JHU-500STP
1	114970322	114970562	JHU-500STP
1	114973356	114973596	JHU-500STP
1	114976176	114976416	JHU-500STP
1	115005671	115005911	JHU-500STP
1	115005985	115006225	JHU-500STP
1	115006830	115007070	JHU-500STP
1	115251095	115251335	JHU-500STP
1	115252149	115252389	JHU-500STP
1	115256389	115256629	JHU-500STP
1	115258605	115258845	JHU-500STP
1	117057349	117057529	JHU-500STP
1	117061778	117062010	JHU-500STP
1	117064467	117064647	JHU-500STP
1	117078568	117078868	JHU-500STP
1	117086899	117087259	JHU-500STP
1	118165478	118166678	JHU-500STP
1	120050048	120050288	JHU-500STP
1	120054087	120054327	JHU-500STP
1	120056442	120057282	JHU-500STP
1	120457902	120459342	JHU-500STP
1	120460246	120460426	JHU-500STP
1	120460982	120461222	JHU-500STP
1	120461905	120462265	JHU-500STP
1	120462815	120463055	JHU-500STP
1	120464293	120464473	JHU-500STP
1	120464843	120465083	JHU-500STP
1	120465209	120465449	JHU-500STP
1	120466223	120466643	JHU-500STP
1	120467910	120468450	JHU-500STP
1	120469057	120469297	JHU-500STP
1	120471566	120471866	JHU-500STP
1	120478014	120478254	JHU-500STP
1	120479876	120480116	JHU-500STP
1	120480436	120480676	JHU-500STP
1	120483158	120483398	JHU-500STP
1	120484112	120484412	JHU-500STP
1	120490992	120491232	JHU-500STP
1	120491569	120491809	JHU-500STP
1	120493283	120493523	JHU-500STP
1	120496118	120496358	JHU-500STP
1	120497638	120497878	JHU-500STP
1	120501949	120502189	JHU-500STP
1	120506163	120506463	JHU-500STP
1	120508012	120508252	JHU-500STP
1	120508935	120509175	JHU-500STP
1	120510029	120510269	JHU-500STP
1	120510657	120510897	JHU-500STP
1	120512100	120512400	JHU-500STP
1	120529523	120529763	JHU-500STP
1	120539607	120539967	JHU-500STP
1	120547931	120548231	JHU-500STP
1	120572479	120572659	JHU-500STP
1	120611879	120612059	JHU-500STP
1	144852306	144852546	JHU-500STP
1	144854097	144854277	JHU-500STP
1	144854466	144854706	JHU-500STP
1	144855691	144855931	JHU-500STP
1	144856778	144857078	JHU-500STP
1	144857549	144857789	JHU-500STP
1	144859728	144860028	JHU-500STP
1	144863259	144863499	JHU-500STP
1	144864109	144864349	JHU-500STP
1	144865749	144865989	JHU-500STP
1	144866537	144866777	JHU-500STP
1	144867896	144868196	JHU-500STP
1	144871668	144871908	JHU-500STP
1	144873832	144874072	JHU-500STP
1	144874642	144874942	JHU-500STP
1	144875912	144876092	JHU-500STP
1	144877003	144877303	JHU-500STP
1	144878998	144879598	JHU-500STP
1	144880681	144880921	JHU-500STP
1	144881405	144881645	JHU-500STP
1	144882423	144882903	JHU-500STP
1	144886062	144886362	JHU-500STP
1	144892126	144892306	JHU-500STP
1	144892393	144892633	JHU-500STP
1	144902996	144903236	JHU-500STP
1	144904560	144904800	JHU-500STP
1	144906007	144906247	JHU-500STP
1	144906358	144906598	JHU-500STP
1	144909824	144910004	JHU-500STP
1	144911832	144912012	JHU-500STP
1	144912091	144912331	JHU-500STP
1	144915421	144915661	JHU-500STP
1	144916539	144916779	JHU-500STP
1	144917447	144917687	JHU-500STP
1	144917755	144917995	JHU-500STP
1	144918791	144919031	JHU-500STP
1	144921820	144922060	JHU-500STP
1	144922142	144922322	JHU-500STP
1	144922458	144922698	JHU-500STP
1	144923635	144923875	JHU-500STP
1	144930545	144931745	JHU-500STP
1	144946563	144946803	JHU-500STP
1	144952166	144952406	JHU-500STP
1	144952507	144952747	JHU-500STP
1	144955163	144955343	JHU-500STP
1	144994540	144994780	JHU-500STP
1	144994884	144995064	JHU-500STP
1	145015804	145016044	JHU-500STP
1	145021054	145021234	JHU-500STP
1	145039509	145039689	JHU-500STP
1	145075595	145075895	JHU-500STP
1	145525001	145525181	JHU-500STP
1	145527548	145527788	JHU-500STP
1	145527862	145528102	JHU-500STP
1	145528209	145528389	JHU-500STP
1	145528506	145528746	JHU-500STP
1	145530210	145530450	JHU-500STP
1	145530831	145531071	JHU-500STP
1	145532069	145532309	JHU-500STP
1	145532419	145532659	JHU-500STP
1	145532703	145532883	JHU-500STP
1	145533006	145533246	JHU-500STP
1	145533365	145533605	JHU-500STP
1	145533749	145533989	JHU-500STP
1	145534064	145534304	JHU-500STP
1	145534833	145535073	JHU-500STP
1	145535697	145535937	JHU-500STP
1	145535948	145536188	JHU-500STP
1	145536789	145537029	JHU-500STP
1	145537128	145537308	JHU-500STP
1	145537362	145537602	JHU-500STP
1	145537692	145537872	JHU-500STP
1	145537936	145538116	JHU-500STP
1	145538172	145538352	JHU-500STP
1	145538675	145538855	JHU-500STP
1	145538916	145539156	JHU-500STP
1	145539314	145539494	JHU-500STP
1	145539619	145539859	JHU-500STP
1	145541398	145541578	JHU-500STP
1	145541738	145541978	JHU-500STP
1	145542155	145542335	JHU-500STP
1	147083571	147083751	JHU-500STP
1	147084659	147085019	JHU-500STP
1	147086200	147086440	JHU-500STP
1	147087562	147087742	JHU-500STP
1	147090602	147092882	JHU-500STP
1	147094051	147094351	JHU-500STP
1	147095631	147096771	JHU-500STP
1	150238471	150238652	JHU-500STP
1	150238868	150239108	JHU-500STP
1	150239418	150239658	JHU-500STP
1	150239696	150239936	JHU-500STP
1	150240062	150240242	JHU-500STP
1	150240321	150240561	JHU-500STP
1	150241033	150241273	JHU-500STP
1	150549783	150550023	JHU-500STP
